s_no,county,sub_county,ward,village_location_town,name_of_site,type_of_site,humanitarian_coordination_hub,number_of_affected_households,total_no_of_affected_people,number_of_displaced_households,total_no_of_displaced_people,men,women,children,elderly,pregnant_lactating_women,person_with_disabilities,source_of_information,accessibility,infrastructure_damage_roads_bridges_schools_health_facilities_etc,comments_remarks,assessement_done_yes_no,assesment_lead_organization,priority_needs,assessment_date,no_of_people_in_need,no_of_people_reached_assisted,type_of_interventions,organization,sector,response_date,contacts_email_mobile,adm1_pcode,id,adm2_pcode
NA,Isiolo,Isiolo,Burat,Bulles Dima,NA,NA,NA,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratBulles DimaNA60,KE011049
NA,Isiolo,Isiolo,Burat,Lotiki,NA,NA,NA,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratLotikiNA60,KE011049
NA,Isiolo,Isiolo,Burat,Game,NA,NA,NA,153,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratGameNA153,KE011049
NA,Isiolo,Isiolo,Burat,Kambi Turkana,NA,NA,NA,123,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKambi TurkanaNA123,KE011049
NA,Isiolo,Isiolo,Burat,Attot,NA,NA,NA,70,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratAttotNA70,KE011049
NA,Isiolo,Isiolo,Burat,Nomads,NA,NA,NA,80,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratNomadsNA80,KE011049
NA,Isiolo,Isiolo,Burat,Maisha Bora,NA,NA,NA,200,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratMaisha BoraNA200,KE011049
NA,Isiolo,Isiolo,Burat,Elsa,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratElsaNA50,KE011049
NA,Isiolo,Isiolo,Burat,Kakili,NA,NA,NA,123,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKakiliNA123,KE011049
NA,Isiolo,Isiolo,Burat,Esmit,NA,NA,NA,80,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratEsmitNA80,KE011049
NA,Isiolo,Isiolo,Burat,Shambani,NA,NA,NA,270,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratShambaniNA270,KE011049
NA,Isiolo,Isiolo,Burat,Kambi Garba,NA,NA,NA,190,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKambi GarbaNA190,KE011049
NA,Isiolo,Isiolo,Burat,Kambi Odha,NA,NA,NA,200,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKambi OdhaNA200,KE011049
NA,Isiolo,Isiolo,Burat,Arimiet,NA,NA,NA,300,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratArimietNA300,KE011049
NA,Isiolo,Isiolo,Burat,Alamach,NA,NA,NA,100,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratAlamachNA100,KE011049
NA,Isiolo,Isiolo,Burat,Kilimani/Bula Degaah,NA,NA,NA,125,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKilimani/Bula DegaahNA125,KE011049
NA,Isiolo,Isiolo,Burat,Akadeli,NA,NA,NA,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratAkadeliNA60,KE011049
NA,Isiolo,Isiolo,Burat,Kambi Sheikh,NA,NA,NA,70,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratKambi SheikhNA70,KE011049
NA,Isiolo,Isiolo,Burat,Leparua,NA,NA,NA,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratLeparuaNA60,KE011049
NA,Isiolo,Isiolo,Burat,Loruko,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBuratLorukoNA50,KE011049
NA,Isiolo,Isiolo,Wabera,Works,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaWorksNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Baraka village,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaBaraka villageNA50,KE011049
NA,Isiolo,Isiolo,Wabera,Kambi Ranger,NA,NA,NA,80,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKambi RangerNA80,KE011049
NA,Isiolo,Isiolo,Wabera,Elboran area,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaElboran areaNA30,KE011049
NA,Isiolo,Isiolo,Wabera,Alnusra,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaAlnusraNA30,KE011049
NA,Isiolo,Isiolo,Wabera,Chief Camp,NA,NA,NA,80,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaChief CampNA80,KE011049
NA,Isiolo,Isiolo,Wabera,Langata,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaLangataNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Hollywood,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaHollywoodNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Jiireena A&B,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaJiireena A&BNA50,KE011049
NA,Isiolo,Isiolo,Wabera,Chelcheles B,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaChelcheles BNA30,KE011049
NA,Isiolo,Isiolo,Wabera,Acacia,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaAcaciaNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Wabera Airport view,NA,NA,NA,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaWabera Airport viewNA10,KE011049
NA,Isiolo,Isiolo,Wabera,Soweto,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaSowetoNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Kasarani,NA,NA,NA,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKasaraniNA10,KE011049
NA,Isiolo,Isiolo,Wabera,Forest,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaForestNA30,KE011049
NA,Isiolo,Isiolo,Wabera,Almusa,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaAlmusaNA50,KE011049
NA,Isiolo,Isiolo,Wabera,Mtandao,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaMtandaoNA20,KE011049
NA,Isiolo,Isiolo,Wabera,Kayaba,NA,NA,NA,40,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKayabaNA40,KE011049
NA,Isiolo,Isiolo,Wabera,Hidaya,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaHidayaNA50,KE011049
NA,Isiolo,Isiolo,Wabera,Kiwanjani,NA,NA,NA,130,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKiwanjaniNA130,KE011049
NA,Isiolo,Isiolo,Wabera,Kambi Asharaff,NA,NA,NA,125,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKambi AsharaffNA125,KE011049
NA,Isiolo,Isiolo,Wabera,Anno College,NA,NA,NA,115,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaAnno CollegeNA115,KE011049
NA,Isiolo,Isiolo,Wabera,Osman Dima,NA,NA,NA,125,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaOsman DimaNA125,KE011049
NA,Isiolo,Isiolo,Wabera,Kisima,NA,NA,NA,120,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaKisimaNA120,KE011049
NA,Isiolo,Isiolo,Wabera,Mwangaza,NA,NA,NA,120,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaMwangazaNA120,KE011049
NA,Isiolo,Isiolo,Wabera,Tulu roba,NA,NA,NA,120,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloWaberaTulu robaNA120,KE011049
NA,Isiolo,Isiolo,Bulapesa,Safi Estate,NA,NA,NA,70,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaSafi EstateNA70,KE011049
NA,Isiolo,Isiolo,Bulapesa,Red Cross,NA,NA,NA,40,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaRed CrossNA40,KE011049
NA,Isiolo,Isiolo,Bulapesa,Sweet waters,NA,NA,NA,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaSweet watersNA60,KE011049
NA,Isiolo,Isiolo,Bulapesa,Bula Mbao A,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaBula Mbao ANA30,KE011049
NA,Isiolo,Isiolo,Bulapesa,Bula Waso,NA,NA,NA,55,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaBula WasoNA55,KE011049
NA,Isiolo,Isiolo,Bulapesa,Machiuka,NA,NA,NA,35,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaMachiukaNA35,KE011049
NA,Isiolo,Isiolo,Bulapesa,Bula Mbao B,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaBula Mbao BNA50,KE011049
NA,Isiolo,Isiolo,Bulapesa,Olla Jarole,NA,NA,NA,77,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaOlla JaroleNA77,KE011049
NA,Isiolo,Isiolo,Bulapesa,Mabatini,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaMabatiniNA50,KE011049
NA,Isiolo,Isiolo,Bulapesa,Rural,NA,NA,NA,40,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaRuralNA40,KE011049
NA,Isiolo,Isiolo,Bulapesa,Bula Kati A,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaBula Kati ANA20,KE011049
NA,Isiolo,Isiolo,Bulapesa,Pepo la Tumaini,NA,NA,NA,25,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaPepo la TumainiNA25,KE011049
NA,Isiolo,Isiolo,Bulapesa,Milimani,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaMilimaniNA20,KE011049
NA,Isiolo,Isiolo,Bulapesa,Kula Mawe,NA,NA,NA,45,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaKula MaweNA45,KE011049
NA,Isiolo,Isiolo,Bulapesa,Soko Mjinga,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaSoko MjingaNA20,KE011049
NA,Isiolo,Isiolo,Bulapesa,Kambi ya Juu,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaKambi ya JuuNA20,KE011049
NA,Isiolo,Isiolo,Bulapesa,Lions,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaLionsNA30,KE011049
NA,Isiolo,Isiolo,Bulapesa,Bora Afya,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloBulapesaBora AfyaNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Ngarendare,NA,NA,NA,84,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNgarendareNA84,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Chumvi/Puli,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroChumvi/PuliNA50,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Noolorooi,NA,NA,NA,84,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNoolorooiNA84,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Kipsing.,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroKipsing.NA50,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Lengwenyi,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroLengwenyiNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Kalawash,NA,NA,NA,85,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroKalawashNA85,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Ltingai,NA,NA,NA,35,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroLtingaiNA35,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Rumate/Saabsaab,NA,NA,NA,150,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroRumate/SaabsaabNA150,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Lobashereki/Lekiji,NA,NA,NA,50,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroLobashereki/LekijiNA50,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Lenguruma,NA,NA,NA,65,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroLengurumaNA65,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Naingura,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNainguraNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Ndugu Zanguni,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNdugu ZanguniNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Parkuruk,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroParkurukNA20,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Matundai,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroMatundaiNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Nkorika,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNkorikaNA20,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Tuale,NA,NA,NA,40,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroTualeNA40,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Nantundu/Lpus,NA,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNantundu/LpusNA30,KE011049
NA,Isiolo,Isiolo,Oldonyiro,Ntepes,NA,NA,NA,35,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE011,IsioloIsioloOldonyiroNtepesNA35,KE011049
NA,Busia,Nambale,Nambale Township,Syekunya,Syekunya,Village,Kisumu,56,138,2.0,8,2,2,5,-,-,-,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaNambaleNambale TownshipSyekunyaSyekunya56,KE040227
NA,Busia,Teso North,Angurai North,Kakurikit,Kakurikit,Village,kisumu,215,950,7.0,21,5,7,9,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaTeso NorthAngurai NorthKakurikitKakurikit215,KE040225
NA,Busia,Teso North,Malaba Central,Amoni,Amoni,Village,Kisumu,200,1800,1.0,5,1,1,3,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaTeso NorthMalaba CentralAmoniAmoni200,KE040225
NA,Busia,Teso South,Amukura Central,Kwangamor,NA,NA,Kisumu,160,645,-,NA,NA,NA,NA,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaTeso SouthAmukura CentralKwangamorNA160,KE040226
NA,Busia,Teso South,Chakol North,Abai,NA,NA,Kisumu,55,200,-,NA,NA,NA,NA,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaTeso SouthChakol NorthAbaiNA55,KE040226
NA,Busia,Samia,Agenga Nanguba,Mudoma B,NA,NA,Kisumu,30,170,-,NA,NA,NA,NA,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaSamiaAgenga NangubaMudoma BNA30,KE040230
NA,Busia,Bunyala,Bunyala South,Maduwa,NA,NA,Kisumu,105,685,15.0,63,NA,NA,NA,NA,NA,NA,Directorate of Disaster Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE040,BusiaBunyalaBunyala SouthMaduwaNA105,KE040231
